Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,Duck,Country
GP Howarth (NZ),1975-1985,47,83,5,2531,147,32.44,6,11,7,NZ
SM Nurse (WI),1960-1969,29,54,1,2523,258,47.6,6,10,3,WI
EJ Barlow (SA),1961-1970,30,57,2,2516,201,45.74,6,15,3,SA
TL Goddard (SA),1955-1970,41,78,5,2516,112,34.46,1,18,4,SA
A Kumble (INDIA),1990-2008,132,173,32,2506,110*,17.77,1,5,17,INDIA
BL D'Oliveira (ENG),1966-1972,44,70,8,2484,158,40.06,5,15,4,ENG
AL Logie (WI),1983-1991,52,78,9,2470,130,35.79,2,16,8,WI
DW Randall (ENG),1977-1984,47,79,5,2470,174,33.37,7,12,14,ENG
W Bardsley (AUS),1909-1926,41,66,5,2469,193*,40.47,6,14,6,AUS
KR Rutherford (NZ),1985-1995,56,99,8,2465,107*,27.08,3,18,16,NZ
AP Gurusinha (SL),1985-1996,41,70,7,2452,143,38.92,7,8,3,SL
P Roy (INDIA),1951-1960,43,79,4,2442,173,32.56,5,9,14,INDIA
WJ Edrich (ENG),1938-1955,39,63,2,2440,219,40,6,13,3,ENG
DJ McGlew (SA),1951-1962,34,64,6,2440,255*,42.06,7,10,4,SA
TG Evans (ENG),1946-1959,91,133,14,2439,104,20.49,2,8,17,ENG
LEG Ames (ENG),1929-1939,47,72,12,2434,149,40.56,8,7,5,ENG
JHB Waite (SA),1951-1965,50,86,7,2405,134,30.44,4,16,9,SA
Imran Farhat (PAK),2001-2013,40,77,2,2400,128,32,3,14,3,PAK
R Ashwin (INDIA),2011-2019,70,96,13,2385,124,28.73,4,11,3,INDIA
MR Ramprakash (ENG),1991-2002,52,92,6,2350,154,27.32,2,12,12,ENG
W Rhodes (ENG),1899-1930,58,98,21,2325,179,30.19,2,11,6,ENG
S Dhawan (INDIA),2013-2018,34,58,1,2315,190,40.61,7,5,4,INDIA
GT Dowling (NZ),1961-1972,39,77,3,2306,239,31.16,3,11,6,NZ
WM Woodfull (AUS),1926-1934,35,54,4,2300,161,46,7,13,6,AUS
TE Bailey (ENG),1949-1959,61,91,14,2290,134*,29.74,1,10,7,ENG
PJP Burge (AUS),1955-1966,42,68,8,2290,181,38.16,4,12,5,AUS
SE Gregory (AUS),1890-1912,58,100,7,2282,201,24.53,4,8,12,AUS
MJK Smith (ENG),1958-1972,50,78,6,2278,121,31.63,3,11,11,ENG
SE Marsh (AUS),2011-2019,38,68,2,2265,182,34.31,6,10,10,AUS
RG Pollock (SA),1963-1970,23,41,4,2256,274,60.97,7,11,1,SA
AW Nourse (SA),1902-1924,45,83,8,2234,111,29.78,1,15,3,SA
Harbhajan Singh (INDIA),1998-2015,103,145,23,2224,115,18.22,2,9,19,INDIA
H Masakadza (ZIM),2001-2018,38,76,2,2223,158,30.04,5,8,10,ZIM
GJ Whittall (ZIM),1993-2002,46,82,7,2207,203*,29.42,4,10,6,ZIM
R Benaud (AUS),1952-1964,63,97,7,2201,122,24.45,3,9,8,AUS
DJ Bravo (WI),2004-2010,40,71,1,2200,113,31.42,3,13,6,WI
VS Hazare (INDIA),1946-1953,30,52,6,2192,164*,47.65,7,9,4,INDIA
GA Headley (WI),1930-1954,22,40,4,2190,270*,60.83,10,5,2,WI
D Ganga (WI),1998-2008,48,86,2,2160,135,25.71,3,9,9,WI
JB Stollmeyer (WI),1939-1955,32,56,5,2159,160,42.33,4,12,2,WI
RG Sharma (INDIA),2013-2019,32,53,7,2141,212,46.54,6,10,4,INDIA
CG Macartney (AUS),1907-1926,35,55,4,2131,170,41.78,7,9,1,AUS
HAPW Jayawardene (SL),2000-2015,58,83,11,2124,154*,29.5,4,5,9,SL
